reactionEnergy,Unnamed: 0,φ,Nd1,Np0,Out_e0,Out_e1,ψ1,First_IE0,CN,L_bond,R0,ΔGH,idx
0.566898025,6110,3.0769230769230766,8.0,6.0,4.0,10.0,2.2,6.65,7.5,1.849816,1.75,0.566898025,5494
-0.102533311,6111,17.18786172797377,6.575007,6.0,7.937005,8.705506,2.037776,8.187218,6.954545455,1.977291,1.486481,-0.102533311,5495
0.067386679,6112,5.625,8.0,6.0,5.0,10.0,2.2,6.88,7.5,1.77488,1.64,0.067386679,5496
-0.147191409,6113,29.09090909090909,5.915925,6.0,10.0,8.079331,2.00609,8.34,7.333333333,1.759634,1.39,-0.147191409,5497
-0.148060269,6114,28.070175438596493,7.599507,6.0,10.0,9.602868,2.248892,9.0,7.333333333,1.773619,1.36,-0.148060269,5498
-0.427441044,6115,29.09090909090909,4.219064,6.0,10.0,6.904214,1.834992,8.34,7.333333333,1.794442,1.39,-0.427441044,5499
0.597162663,6117,41.968911917098445,0.0,6.0,11.0,6.673677,1.800014,7.576,7.333333333,1.837298,1.45,0.597162663,5500
-0.067658113,6118,29.09090909090909,3.595404,6.0,10.0,6.293508,1.753626,8.34,7.333333333,1.795008,1.39,-0.067658113,5501
-0.112152807,6119,28.070175438596493,7.162038,6.0,10.0,9.177553,2.095127,9.0,7.333333333,1.784865,1.36,-0.112152807,5502
-0.301576829,6120,28.070175438596493,6.922833,6.0,10.0,8.960616,2.024718,9.0,7.333333333,1.78046,1.36,-0.301576829,5503
-0.542554177,6121,16.463083349212877,6.086092,6.0,7.862224,8.132418,2.013738,7.423516,7.5,1.829528,1.370099,-0.542554177,5504
-0.123781728,6122,24.473703006119923,7.0,6.0,9.0,9.0,1.964768,7.755726,6.954545455,1.752643,1.308138,-0.123781728,5505
-0.205183222,6123,28.070175438596493,6.839904,6.0,10.0,8.87904,2.004782,9.0,7.5,1.595603,1.36,-0.205183222,5506
0.072722151,6124,6.779661016949153,7.0,6.0,6.0,9.0,1.91,7.98,7.5,1.744999,1.62,0.072722151,5507
-0.169940943,6125,28.070175438596493,6.677014,6.0,10.0,8.71811,1.965496,9.0,7.333333333,1.776106,1.36,-0.169940943,5508
-0.472572348,6126,25.654450261780106,3.311771,6.0,9.0,5.898402,1.676119,7.16,7.333333333,1.716985,1.26,-0.472572348,5509
-0.33806158,6128,18.56520286968343,6.575007,6.0,7.937005,8.705506,1.827106,7.324185,6.954545455,1.780601,1.329979,-0.33806158,5510
-0.243660527,6129,28.070175438596493,7.322296,6.0,10.0,9.336445,2.130862,9.0,7.333333333,1.779936,1.36,-0.243660527,5511
0.510539168,6130,48.153140023385845,9.147073,2.44949,5.744563,9.007032,1.911033,6.741545,7.333333333,1.843565,1.330038,0.510539168,5512
-0.249802273,6131,28.070175438596493,8.0,6.0,10.0,10.0,2.248892,9.0,7.333333333,1.758522,1.36,-0.249802273,5513
-0.204183884,6132,28.57598286869827,8.0,6.0,10.0,10.0,2.267506,8.663717,7.333333333,1.794459,1.374918,-0.204183884,5514
-0.054710936,6133,29.09090909090909,8.0,6.0,10.0,10.0,2.25508,8.34,7.333333333,1.731224,1.39,-0.054710936,5515
-0.230531171,6134,28.57598286869827,8.0,6.0,10.0,10.0,2.236568,8.663717,7.333333333,1.776509,1.374918,-0.230531171,5516
-0.092057472,6135,29.09090909090909,8.679671,6.0,10.0,10.682096,2.430135,8.34,7.333333333,1.717845,1.39,-0.092057472,5517
-0.381480472,6136,18.56520286968343,6.260338,6.0,7.937005,8.408964,1.814117,7.324185,7.5,1.790596,1.329979,-0.381480472,5518
-0.29168413,6137,28.070175438596493,8.0,6.0,10.0,10.0,2.224312,9.0,7.333333333,1.758081,1.36,-0.29168413,5519
0.070950826,6139,30.928094793198984,8.385925,6.0,10.656022,10.388601,2.330167,8.920029,6.954545455,1.861401,1.369927,0.070950826,5520
-0.098254729,6140,29.995439464557293,8.485281,6.0,10.322801,10.488088,2.363895,8.62514,7.5,1.854206,1.379927,-0.098254729,5521
-0.587213636,6141,25.654450261780106,3.846519,6.0,9.0,6.418536,1.720483,7.16,7.333333333,1.695678,1.26,-0.587213636,5522
0.497571855,6142,22.465036868909568,6.835945,6.0,8.485281,8.838384,1.897468,7.50661,7.333333333,1.676221,1.289651,0.497571855,5523
-0.594640575,6143,16.129032258064516,4.728708,6.0,7.0,6.735368,1.721776,7.435,7.5,1.818966,1.39,-0.594640575,5524
-0.454925766,6144,16.129032258064516,5.0,6.0,7.0,7.0,1.650207,7.435,7.333333333,1.729286,1.39,-0.454925766,5525
-0.159146731,6145,29.552373076114243,7.83733,6.0,9.486833,9.839214,1.884585,7.393686,7.333333333,1.652886,1.24996,-0.159146731,5526
-0.301219815,6146,30.979120301058703,7.789177,6.0,9.654894,9.791484,1.885962,7.473265,6.954545455,1.727391,1.246631,-0.301219815,5527
-0.283067237,6147,30.979120301058703,7.737346,6.0,9.654894,9.740037,1.887456,7.473265,7.5,1.731799,1.246631,-0.283067237,5528
0.57755999,6148,41.968911917098445,9.681012,6.0,11.0,11.68299,1.760482,7.576,7.333333333,1.872834,1.45,0.57755999,5529
0.637607623,6150,49.833390569689236,9.525355,6.0,11.489125,11.527639,1.796817,8.254149,7.333333333,1.888367,1.444991,0.637607623,5530
0.631048183,6151,49.833390569689236,9.448467,6.0,11.489125,11.45074,1.815265,8.254149,7.333333333,1.896203,1.444991,0.631048183,5531
0.67910199,6152,45.5814600804609,9.525355,4.242641,7.416198,7.194676,1.977952,7.431115,7.111111111,1.979422,1.464923,0.67910199,5532
0.658771549,6153,41.968911917098445,9.681012,6.0,11.0,4.474487,1.824868,7.576,7.333333333,1.884163,1.45,0.658771549,5533
-0.466742854,6154,20.535436637989132,6.435259,6.0,8.276773,8.45194,1.907495,7.392377,7.5,1.820138,1.338359,-0.466742854,5534
-0.431626427,6155,20.535436637989132,6.544439,6.0,8.276773,8.558815,1.907996,7.199779,6.954545455,1.796578,1.326436,-0.431626427,5535
-0.138028112,6156,25.654450261780106,7.0,6.0,9.0,9.0,2.044612,7.16,7.333333333,1.675041,1.26,-0.138028112,5536
0.801479883,6157,45.80880036417437,9.159437,6.0,11.489125,11.160683,1.941494,8.892171,6.5,1.879363,1.383474,0.801479883,5537
-0.159471227,6158,13.157894736842106,7.0,6.0,7.0,9.0,1.91,7.88,7.5,1.691362,1.51,-0.159471227,5538
-0.188453255,6159,19.672131147540984,2.44949,6.0,8.0,4.898979,1.494189,7.87,3.882352941,1.755018,1.32,-0.188453255,5539
-0.169523112,6161,19.672131147540984,6.0,6.0,8.0,8.0,1.83,7.87,2.2,1.756259,1.32,-0.169523112,5540
-0.36606604,6162,19.672131147540984,3.012051,6.0,8.0,5.486001,1.632561,7.87,7.333333333,1.766235,1.32,-0.36606604,5541
-0.503244884,6163,19.672131147540984,3.932268,6.0,8.0,6.127865,1.618615,7.87,7.333333333,1.785114,1.32,-0.503244884,5542
-0.440980884,6164,20.535436637989132,6.435259,6.0,8.276773,8.45194,1.907495,7.199779,7.5,1.804976,1.326436,-0.440980884,5543
-0.313595144,6165,19.672131147540984,4.916884,6.0,8.0,7.173979,1.749385,7.87,4.470588235,1.764279,1.32,-0.313595144,5544
0.442080904,6166,47.43772545555015,9.558498,6.0,11.323713,11.560754,1.764649,8.139108,5.857142857,1.93725,1.36888,0.442080904,5545
0.460793084,6167,50.43381507146697,9.486833,6.0,11.489125,11.489125,1.784517,8.436169,6.111111111,1.796873,1.330038,0.460793084,5546
-0.095763391,6168,26.4356647426304,7.483315,6.0,9.321698,9.486833,2.086816,7.727212,7.5,1.814481,1.292488,-0.095763391,5547
0.549396752,6169,60.60606060606061,9.17407,6.0,12.0,11.175407,1.875773,9.394,5.777777778,1.867374,1.22,0.549396752,5548
0.497427362,6170,36.58386218091307,9.0,6.0,11.0,11.0,2.434913,8.35994,7.333333333,1.838135,1.404279,0.497427362,5549
-0.08933783,6172,26.83514185688868,7.14529,6.0,9.486833,9.147073,1.962747,8.027453,7.333333333,1.734364,1.309045,-0.08933783,5550
0.489921646,6173,41.968911917098445,9.0,6.0,11.0,11.0,1.918406,7.576,7.333333333,1.845488,1.45,0.489921646,5551
