Nd0,Nd1,Nd,Np0,Np1,Np,Ns0,Ns1,Ns,Out_e0,Out_e1,Out_e,ψ0,ψ1,ψ,First_IE0,First_IE1,First_IE,CN,L_bond,R0,R1,R,ΔGH
10.0,10.0,10.0,6.0,3.301927,3.505144,2.0,2.0,2.0,12.0,7.559526,7.917047,1.69,1.729089,1.72514,8.993,7.85771,7.96447,7.5,1.76298,1.44,1.362579,1.37013,0.884411201
3.0,5.0,4.751001,6.0,6.0,6.0,2.0,2.0,2.0,5.0,7.0,6.768388,1.6,1.9,1.867627,6.88,7.88,7.773783,7.5,1.812423,1.64,1.51,1.522522,0.411341292
3.0,4.855934,4.481405,6.0,6.0,6.0,2.0,2.0,2.0,5.0,7.096668,6.69433,1.6,1.63541,1.629454,6.88,7.657992,7.52247,6.954545455,2.061407,1.64,1.556866,1.570423,-1.064654374
0.0,10.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.61,1.81,1.78893,5.986,5.999,5.997699,7.5,1.605344,1.21,1.22,1.218996,0.320884666
5.0,1.258499,1.495349,6.0,6.0,6.0,2.0,2.0,2.0,7.0,3.386019,3.707793,1.55,1.155233,1.198471,7.435,5.810864,5.992675,5.8,1.820425,1.39,1.955521,1.873835,-0.388703734
8.0,3.482202,4.0,6.0,6.0,6.0,1.0,1.319508,1.259921,10.0,6.178009,6.69433,2.28,1.703405,1.788219,9.0,7.432001,7.672942,6.954545455,1.86914,1.36,1.608835,1.564406,-0.274377554
10.0,7.400828,7.761046,6.0,6.0,6.0,2.0,2.0,2.0,12.0,9.641141,9.980143,1.69,1.667036,1.670641,8.993,8.410572,8.499962,7.5,2.181267,1.44,1.487589,1.479971,1.086266335
10.0,6.178009,6.69433,6.0,6.0,6.0,2.0,2.0,2.0,12.0,8.454672,8.962809,2.0,1.782602,1.817121,10.437,9.332032,9.507714,6.954545455,2.058876,1.32,1.460575,1.436147,1.280154928
6.6494,6.787482,6.764271,6.0,6.0,6.0,2.0,2.0,2.0,8.653497,8.790468,8.76749,2.2,2.2,2.2,8.964664,9.018555,9.009551,6.954545455,1.920331,1.41993,1.41595,1.416612,-0.165294599
1.0,1.495349,1.403303,6.0,6.0,6.0,2.0,2.0,2.0,3.0,3.707793,3.585833,1.22,1.362882,1.339257,6.38,6.725848,6.67002,7.5,2.222906,1.9,1.793946,1.810289,-1.045144492
4.0,1.0,1.189207,6.0,6.0,6.0,2.0,2.0,2.0,6.0,3.0,3.271523,1.66,1.1,1.158063,6.766,5.577,5.713366,4.5,1.764092,1.39,2.07,1.969477,-0.711617689
7.0,2.735565,3.036589,6.0,6.0,6.0,2.0,2.0,2.0,9.0,4.898979,5.241483,1.91,1.455952,1.500533,7.16,6.918634,6.945045,6.0,1.562999,1.26,1.612023,1.568492,-0.205955617
3.979057,4.582576,4.481527,6.0,6.0,6.0,2.0,2.0,2.0,6.082202,6.708204,6.605239,1.801355,1.893674,1.878789,7.449385,7.831603,7.769974,7.5,1.908843,1.488906,1.468775,1.471935,-0.548892933
5.848035,3.807308,4.089624,6.0,6.0,6.0,2.0,2.0,2.0,8.320335,6.207382,6.517993,1.638443,1.598332,1.604949,8.200957,7.617851,7.712073,6.954545455,2.068501,1.491472,1.53397,1.526804,0.075213353
5.0,3.976354,4.122808,6.0,6.0,6.0,2.0,2.0,2.0,7.0,6.086092,6.22203,1.9,1.802791,1.817802,7.88,7.600475,7.643942,7.5,1.964174,1.51,1.532014,1.528517,-0.661897728
5.0,1.0,1.174619,6.0,6.0,6.0,2.0,2.0,2.0,7.0,3.0,3.265269,1.9,1.22,1.275261,7.88,6.38,6.516152,7.5,1.797953,1.51,1.9,1.856846,-0.768583496
2.0,7.0,5.852939,6.0,6.0,6.0,2.0,2.0,2.0,4.0,9.0,8.015502,1.33,1.91,1.813756,6.84,7.16,7.113385,5.2,1.891751,1.75,1.26,1.32054,0.325127465
2.0,5.848035,5.253056,6.0,6.0,6.0,2.0,2.0,2.0,4.0,8.320335,7.732728,1.54,1.638443,1.628322,6.82,8.200957,8.051124,7.5,1.831934,1.6,1.491472,1.501985,0.06320184
3.684031,4.162766,4.078861,6.0,6.0,6.0,2.0,2.0,2.0,5.808786,6.258791,6.181439,1.771506,1.821827,1.813342,7.509522,7.655576,7.631037,6.954545455,1.944733,1.539423,1.527586,1.529552,-0.705577578
5.0,1.0,1.174619,6.0,6.0,6.0,2.0,2.0,2.0,7.0,3.0,3.265269,1.9,1.22,1.275261,7.88,6.38,6.516152,7.5,1.800139,1.51,1.9,1.856846,-0.795427799
10.0,6.178009,6.69433,2.0,3.103691,2.884499,2.0,2.0,2.0,4.0,4.373448,4.308869,2.33,2.004756,2.055625,7.416,7.196763,7.232847,6.954545455,2.226486,1.46,1.529499,1.51769,1.187916636
2.0,3.301089,3.036589,6.0,6.0,6.0,2.0,2.0,2.0,4.0,5.532647,5.241483,1.54,1.776158,1.734422,6.82,7.653978,7.508215,6.954545455,1.983599,1.6,1.521107,1.53398,-1.058097791
6.0,6.603854,6.54083,6.0,6.0,6.0,2.0,1.587401,1.624505,8.0,8.617739,8.553877,2.2,2.22635,2.223701,8.7,8.798872,8.788935,7.5,1.638672,1.44,1.412824,1.415518,-0.137737767
3.684031,3.976354,3.928701,6.0,6.0,6.0,2.0,2.0,2.0,5.808786,6.086092,6.041443,1.771506,1.802791,1.797815,7.509522,7.600475,7.586041,7.5,1.954948,1.539423,1.532014,1.533181,-0.635360643
10.0,7.400828,7.761046,2.0,2.632148,2.520441,2.0,2.0,2.0,4.0,4.229485,4.192394,2.33,2.121031,2.152734,7.416,7.278207,7.299792,7.5,2.256713,1.46,1.503058,1.496175,0.860340555
2.0,2.735565,2.603578,6.0,6.0,6.0,2.0,2.0,2.0,4.0,4.898979,4.744645,1.54,1.683628,1.66009,6.82,7.32991,7.246933,7.5,1.958181,1.6,1.550225,1.55798,-1.028569902
8.0,6.0,6.175116,6.0,6.0,6.0,1.0,2.0,1.866066,10.0,8.0,8.180521,2.28,2.2,2.207872,9.0,8.7,8.729544,7.5,1.596247,1.36,1.44,1.431793,-0.037746271
3.036589,2.56947,2.642007,6.0,6.0,6.0,2.0,2.0,2.0,5.241483,4.704316,4.789859,1.734422,1.653869,1.66703,7.508215,7.224966,7.271421,6.954545455,1.96547,1.53398,1.560055,1.555678,-0.643360245
5.0,3.465724,3.684031,6.0,6.0,6.0,2.0,2.0,2.0,7.0,5.596066,5.808786,1.9,1.746869,1.771506,7.88,7.437543,7.509522,6.954545455,1.921555,1.51,1.545376,1.539423,-0.502722017
3.979057,4.98778,4.803445,6.0,6.0,6.0,2.0,2.0,2.0,6.082202,7.114322,6.930875,1.801355,1.951321,1.925486,7.449385,8.070284,7.963318,6.954545455,1.916915,1.488906,1.456827,1.462125,-0.684479776
7.0,2.735565,3.036589,6.0,6.0,6.0,2.0,2.0,2.0,9.0,4.898979,5.241483,1.91,1.455952,1.500533,7.16,6.918634,6.945045,6.0,1.696378,1.26,1.612023,1.568492,-0.698376493
4.308869,4.472136,4.445952,6.0,6.0,6.0,2.0,2.0,2.0,6.31636,6.480741,6.454504,1.933807,1.829754,1.845803,7.209278,7.265058,7.256222,7.5,1.934159,1.488283,1.463079,1.46703,-0.636446105
6.0,7.360219,7.113787,6.0,6.0,6.0,2.0,2.0,2.0,8.0,9.408632,9.157714,2.2,1.979741,2.014856,7.37,7.980725,7.875531,6.954545455,1.87757,1.46,1.451967,1.453303,-0.40221024
1.0,1.741101,1.587401,6.0,6.0,6.0,2.0,2.0,2.0,3.0,3.958524,3.779763,1.36,1.636458,1.586757,8.54,7.931468,8.029792,6.954545455,2.077931,1.7,1.634096,1.6449,-1.036822298
2.0,2.639016,2.519842,6.0,6.0,6.0,2.0,2.0,2.0,4.0,4.704316,4.578857,1.33,1.453296,1.431981,6.84,6.810303,6.815244,6.954545455,2.170997,1.75,1.595985,1.620679,-0.926745311
6.0,5.045378,5.185331,6.0,6.0,6.0,2.0,2.0,2.0,8.0,7.113118,7.246318,2.2,2.031641,2.057341,8.7,8.204206,8.280568,7.5,1.921287,1.44,1.487589,1.479971,-0.406960396
6.0,6.817316,6.681227,6.0,6.0,6.0,2.0,2.0,2.0,8.0,8.853455,8.712882,2.2,2.059628,2.081181,7.37,7.745987,7.68537,7.5,1.91104,1.46,1.454974,1.455767,-0.482868592
