idx,y_true,y_struct,y_hat,abs_y_hat
5620,-0.067012931,-0.1631284488310383,-0.06324758,0.06324758
3531,-0.063022381,0.4942883220613197,-0.06352393,0.06352393
1093,-0.045862202,-0.0302784362578101,-0.06577287,0.06577287
1225,-0.069689579,-0.1086357889200278,-0.06637369,0.06637369
2322,0.074852122,0.2121839818455657,0.06643504,0.06643504
7712,-0.040784084,-0.1149848731689254,0.066561684,0.066561684
3556,0.082459065,0.274621945522432,0.06664613,0.06664613
8464,0.072522828,0.3691054660497524,0.06673609,0.06673609
4166,0.049362267,-0.0398505567729319,0.067608476,0.067608476
7471,-0.064537375,-0.1563237044594776,-0.067651816,0.067651816
9353,-0.071490395,-0.0210212326448916,-0.067666724,0.067666724
3491,-0.055891638,-0.1199286718051314,-0.06883159,0.06883159
5643,0.072061867,0.4798187152492075,0.06932321,0.06932321
4594,0.078981178,0.0765472175164749,0.07020275,0.07020275
8046,-0.052142726,-0.2409089278542087,-0.07158844,0.07158844
8059,-0.059798921,-0.3572570333313896,-0.0733819,0.0733819
5125,0.087498069,-0.1175922156859163,0.07362221,0.07362221
8306,-0.07008115,-0.4973314300562797,-0.077360876,0.077360876
8494,-0.05489747,-0.3511543587280984,-0.07843899,0.07843899
5019,-0.073112771,0.0463314085367611,-0.07879616,0.07879616
338,-0.065496168,0.0583832682826873,-0.07929526,0.07929526
8280,-0.060301923,-0.1553057867802748,-0.07950611,0.07950611
8189,0.098625216,0.3825983170720159,0.07995358,0.07995358
1848,0.085222109,0.376059269158021,0.08187923,0.08187923
7806,-0.067643626,0.0607451619657905,-0.08234008,0.08234008
7971,0.099372101,0.29277904198527,0.0836819,0.0836819
8017,-0.085140475,-0.3072101507646125,-0.08425804,0.08425804
8126,0.103870279,0.3675745253671022,0.08437848,0.08437848
142,-0.079557243,-0.5618022133683682,-0.08475919,0.08475919
1739,-0.09038751,0.4227965017745775,-0.085429505,0.085429505
3728,0.10430967,-0.2555995885095924,0.086638734,0.086638734
7812,-0.071703496,-0.0251568931403931,-0.08678527,0.08678527
3591,-0.089948318,0.0912879488765553,-0.08687259,0.08687259
1327,-0.081358636,-0.1245849027164846,-0.089098826,0.089098826
799,-0.073824212,-0.0648973701512764,-0.089177966,0.089177966
7818,0.087292355,-0.0473163497858452,0.0898577,0.0898577
2763,-0.082673082,-0.2721464007495994,-0.091838196,0.091838196
5776,-0.097838803,0.0377815484779013,-0.09350426,0.09350426
7326,0.111684368,0.4651602222644007,0.09384142,0.09384142
7543,0.085802803,0.4905433345340288,0.09453215,0.09453215
3913,0.106501955,-0.1469804765780489,0.09642759,0.09642759
3127,-0.085799806,0.3096908914558007,-0.09788407,0.09788407
2033,-0.095387175,0.056253872749988,-0.09888492,0.09888492
8250,-0.094716569,-0.2175187415655873,-0.09914405,0.09914405
5492,-0.091539639,-0.205167589980928,-0.099205494,0.099205494
9310,0.114835855,0.6918899012810363,0.101003975,0.101003975
